,Unnamed: 0,date,text,GPE,gpe,country,score
37677,37677,2018-09-16 16:09:08,As the storm begins to finally recede they will kick into an even higher gear.,[],,,
21940,21940,2016-01-11 20:20:54,@megynkelly recently said that she can’t be wooed by Trump.,[],,,
13759,13759,2014-03-19 22:09:37,Head on over to my Facebook page to have your questions answered in the next #AskTheDonald- http://t.co/3xffLRSNhK,[],,,
16312,16312,2014-11-24 20:32:23,Premiering on January 4th the 14th season of @ApprenticeNBC will have major fireworks every episode.,[],,,
41235,41235,2019-02-11 19:58:05,????,[],,,
21832,21832,2016-01-07 11:06:43,How stupid how desperate!,[],,,
14923,14923,2014-07-23 21:12:09,Great people great dedication.,[],,,
27747,27747,2016-11-02 19:09:28,https://t.co/YivCacmkKq,[],,,
27155,27155,2016-10-11 14:48:29,They don’t know how to win - I will teach them!,[],,,
8603,8603,2013-03-26 18:09:11,..,[],,,
3167,3167,2012-08-02 16:38:32,More lies and deceptions--@BarackObama is having his ex-staffers write 'independent' studies for his reelection http://t.co/FexCgmzX,[],,,
39966,39966,2018-12-15 14:14:54,Secretary of the Interior @RyanZinke will be leaving the Administration at the end of the year after having served for a period of almost two years.,[],,,
23023,23023,2016-02-25 16:35:12,https://t.co/UdwqF4iZIZ,[],,,
29951,29951,2017-07-16 17:16:32,Our sailors are the best anywhere in the world.,[],,,
42137,42137,2019-03-21 02:00:05,https://t.co/UhTjBuWY2h,[],,,
11387,11387,2013-08-26 18:45:06,http://t.co/n0FX6rEXyr,[],,,
24697,24697,2016-05-25 13:14:58,Hillary doesn't have it,[],,,
21709,21709,2015-12-30 04:02:06,The silent majority is silent no more!#Trump2016 #FITN https://t.co/VTAe68eQ1k https://t.co/IPsJPVH5JP,[],,,
28421,28421,2017-01-20 17:54:36,We will bring back our jobs.,[],,,
42304,42304,2019-04-01 14:43:14,No matter what information is given to the crazed Democrats from the No Collusion Mueller Report it will never be good enough.,[],,,
21929,21929,2016-01-11 15:09:17,Paper won't survive highly unethical!,[],,,
40682,40682,2019-01-15 13:05:16,RT @paulsperry_: BREAKING: Inspector General Michael Horowitz still does NOT have all of Peter Strzok's and Lisa Page's texts even though…,[],,,
50537,50537,2019-10-13 23:27:49,Europe should have taken them back after numerous requests.,[],,,
10930,10930,2013-07-25 19:36:46,Getting ready to leave @TrumpDoral and the brand new Blue Monster course--it's unbelievable!,[],,,
47687,47687,2019-08-24 15:15:14,If Republicans take back the House and keep the Senate and Presidency one of our first acts will be to approve a major middle income Tax Cut!,[],,,
22672,22672,2016-02-12 01:06:30,Wow!,[],,,
1038,1038,2011-11-17 18:51:34,Yet the Super Committee can't find $1.2Trillion i… (cont) http://t.co/e9BkXiS3,[],,,
3886,3886,2012-09-21 15:54:27,She got the best of both parents.,[],,,
3459,3459,2012-08-23 18:19:40,Fight hard for that brand of yours.,[],,,
56551,56551,2020-01-26 05:04:15,RT @MariaBartiromo: Tomorrow join us #Exclusive @SundayFutures @FoxNews @POTUS @realDonaldTrump @LindseyGrahamSC @TGowdySC @RepRatcliffe @R…,[],,,
43097,43097,2019-04-29 23:13:49,Fact is every economic aspect of our Country is the best it has ever been!,[],,,
29444,29444,2017-06-03 23:01:54,RT @DRUDGE_REPORT: Fears of new terror attack after van 'mows down 20 people' on London Bridge...,[],,,
54166,54166,2019-12-16 05:28:18,This is why they’re....,[],,,
19135,19135,2015-07-29 21:53:12,https://t.co/oRATmdIzqE,[],,,
39220,39220,2018-11-07 15:39:11,You mean they are finally beginning to understand what a disgusting Witch Hunt led by 17 Angry Democrats is all about!,[],,,
7474,7474,2013-02-20 23:10:07,Thanks.,[],,,
30670,30670,2017-09-14 10:28:41,Does anybody really want to throw out good educated and accomplished young people who have jobs some serving in the military?,[],,,
